rank,gid,role,priority_score,why,cluster_id,is_seed
13,100000007908818100,coordinator,0.8462,"координатор: собирает от 4 плательщ. (727 475 ₸), раздаёт 6 получ. (302 000 ₸); 4 seed в 2 шагах выше",3,False
14,100000004015047100,consolidator,0.8413,"точка консолидации: получает от 9 разных плательщиков (18 переводов, 919 104 ₸), отдал дальше 8% полученного; до 2 плательщиков в один день | 4 seed в 2 шагах выше, 64% ушло за ≤2 дня",8,False
15,100000008547948100,coordinator,0.8226,"координатор: собирает от 6 плательщ. (212 665 ₸), раздаёт 26 получ. (5 185 600 ₸); 1 seed в 2 шагах выше",5,False
16,100000005933757100,distributor,0.8139,"распределитель: веер: 46 переводов на 34 разных получателей, 3 002 628 ₸; получил от 4 плательщиков | 1 seed в 2 шагах выше, в кольце возвратных потоков, 3 циклов, 61% ушло за ≤2 дня",14,False
17,100000000332284100,consolidator,0.8096,"точка консолидации: получает от 10 разных плательщиков (12 переводов, 107 426 ₸), отдал дальше 269% полученного; до 3 плательщиков в один день | 1 seed в 2 шагах выше, 100% ушло за ≤2 дня",6,False
18,100000004486525100,consolidator,0.8004,"точка консолидации: получает от 8 разных плательщиков (21 переводов, 360 924 ₸), отдал дальше 75% полученного; до 5 плательщиков в один день | 1 seed в 2 шагах выше, 100% ушло за ≤2 дня",2,False
19,100000002578405100,distributor,0.7969,"распределитель: веер: 120 переводов на 116 разных получателей, 3 108 352 ₸; получил от 2 плательщиков | 1 seed в 2 шагах выше, 67% ушло за ≤2 дня",1,False
20,100000002957787100,distributor,0.7951,"распределитель: веер: 41 переводов на 34 разных получателей, 1 276 154 ₸; получил от 4 плательщиков | 1 seed в 2 шагах выше, в кольце возвратных потоков, 84 циклов, 76% ушло за ≤2 дня",2,False
21,100000004299488100,consolidator,0.7932,"точка консолидации: получает от 6 разных плательщиков (22 переводов, 1 749 000 ₸), отдал дальше 20% полученного; до 3 плательщиков в один день | 1 seed в 2 шагах выше, 94% ушло за ≤2 дня",2,False
22,100000007055802100,consolidator,0.7894,"точка консолидации: получает от 6 разных плательщиков (34 переводов, 2 024 999 ₸), отдал дальше 30% полученного; до 4 плательщиков в один день | 1 seed в 2 шагах выше, 100% ушло за ≤2 дня",2,False
23,100000000661912100,consolidator,0.7874,"точка консолидации: получает от 5 разных плательщиков (9 переводов, 393 036 ₸), отдал дальше 110% полученного; до 2 плательщиков в один день | 1 seed в 2 шагах выше, в кольце возвратных потоков, 1 циклов, 75% ушло за ≤2 дня",2,False
24,100000008686313100,consolidator,0.7832,"точка консолидации: получает от 6 разных плательщиков (16 переводов, 1 912 716 ₸), отдал дальше 17% полученного; до 2 плательщиков в один день | 1 seed в 2 шагах выше, в кольце возвратных потоков, 408 циклов, 100% ушло за ≤2 дня",2,False
25,100000004962193100,consolidator,0.7814,"точка консолидации: получает от 8 разных плательщиков (11 переводов, 900 468 ₸), отдал дальше 0% полученного; до 5 плательщиков в один день | 1 seed в 2 шагах выше",2,False
26,100000004403675100,consolidator,0.7783,"точка консолидации: получает от 4 разных плательщиков (8 переводов, 182 980 ₸), отдал дальше 145% полученного | 2 seed в 2 шагах выше, в кольце возвратных потоков, 10 циклов, 54% ушло за ≤2 дня",19,False
27,100000008730846100,consolidator,0.7712,"точка консолидации: получает от 7 разных плательщиков (11 переводов, 155 042 ₸), отдал дальше 234% полученного; до 4 плательщиков в один день | 1 seed в 2 шагах выше, 100% ушло за ≤2 дня",10,False
28,100000004071080100,consolidator,0.7694,"точка консолидации: получает от 9 разных плательщиков (16 переводов, 238 600 ₸), отдал дальше 19% полученного; до 2 плательщиков в один день | 1 seed в 2 шагах выше, 87% ушло за ≤2 дня",2,False
29,100000003684369100,coordinator,0.7651,"координатор: seed; собирает от 24 плательщ. (3 848 436 ₸), раздаёт 62 получ. (8 588 655 ₸); 3 seed в 2 шагах выше | 100% ушло за ≤2 дня, уже известен (seed)",3,True
30,100000003701161100,consolidator,0.7601,"точка консолидации: получает от 4 разных плательщиков (13 переводов, 1 527 103 ₸), отдал дальше 23% полученного; до 2 плательщиков в один день | 2 seed в 2 шагах выше, 100% ушло за ≤2 дня",23,False
31,100000003404627100,consolidator,0.7597,"точка консолидации: получает от 4 разных плательщиков (5 переводов, 877 700 ₸), отдал дальше 0% полученного; до 3 плательщиков в один день | 4 seed в 2 шагах выше",39,False
32,100000002718366100,consolidator,0.7596,"точка консолидации: получает от 6 разных плательщиков (10 переводов, 2 525 000 ₸), отдал дальше 0% полученного; до 3 плательщиков в один день | 1 seed в 2 шагах выше",5,False
33,100000006889963100,consolidator,0.7583,"точка консолидации: получает от 4 разных плательщиков (6 переводов, 1 431 000 ₸), отдал дальше 31% полученного; до 4 плательщиков в один день | 4 seed в 2 шагах выше, 100% ушло за ≤2 дня",6,False
34,100000001697501100,distributor,0.7556,"распределитель: веер: 55 переводов на 38 разных получателей, 1 482 606 ₸; получил от 3 плательщиков | 1 seed в 2 шагах выше",1,False
35,100000002838861100,consolidator,0.755,"точка консолидации: получает от 5 разных плательщиков (5 переводов, 554 524 ₸), отдал дальше 2% полученного; до 2 плательщиков в один день | 2 seed в 2 шагах выше",9,False
36,100000000343175100,coordinator,0.7543,"координатор: seed; собирает от 8 плательщ. (178 712 ₸), раздаёт 31 получ. (4 000 039 ₸); 3 seed в 2 шагах выше | 100% ушло за ≤2 дня, уже известен (seed)",10,True
37,100000004759121100,consolidator,0.7535,"точка консолидации: получает от 6 разных плательщиков (10 переводов, 710 000 ₸), отдал дальше 44% полученного | 1 seed в 2 шагах выше, 52% ушло за ≤2 дня",2,False
38,100000005074393100,consolidator,0.7515,"точка консолидации: получает от 4 разных плательщиков (5 переводов, 563 026 ₸), отдал дальше 122% полученного | 2 seed в 2 шагах выше",11,False
39,100000002224132100,consolidator,0.7476,"точка консолидации: получает от 5 разных плательщиков (10 переводов, 3 951 020 ₸), отдал дальше 307% полученного; до 2 плательщиков в один день | 1 seed в 2 шагах выше, 73% ушло за ≤2 дня",24,False
40,100000003242289100,distributor,0.7462,"распределитель: веер: 26 переводов на 23 разных получателей, 2 377 741 ₸; получил от 3 плательщиков | 1 seed в 2 шагах выше, в кольце возвратных потоков, 104 циклов",16,False
41,100000003741418100,consolidator,0.7456,"точка консолидации: получает от 9 разных плательщиков (13 переводов, 151 900 ₸), отдал дальше 26% полученного; до 2 плательщиков в один день | 1 seed в 2 шагах выше",6,False
42,100000002741024100,consolidator,0.743,"точка консолидации: получает от 5 разных плательщиков (9 переводов, 817 981 ₸), отдал дальше 53% полученного | 1 seed в 2 шагах выше",7,False
43,100000008512552100,consolidator,0.7407,"точка консолидации: получает от 4 разных плательщиков (9 переводов, 394 360 ₸), отдал дальше 330% полученного; до 2 плательщиков в один день | 1 seed в 2 шагах выше, в кольце возвратных потоков, 13 циклов, 100% ушло за ≤2 дня",16,False
44,100000007442518100,consolidator,0.74,"точка консолидации: получает от 5 разных плательщиков (8 переводов, 510 000 ₸), отдал дальше 867% полученного | 1 seed в 2 шагах выше, 90% ушло за ≤2 дня",31,False
45,100000008111003100,consolidator,0.7387,"точка консолидации: получает от 6 разных плательщиков (9 переводов, 222 716 ₸), отдал дальше 16% полученного; до 2 плательщиков в один день | 1 seed в 2 шагах выше, в кольце возвратных потоков, 104 циклов, 100% ушло за ≤2 дня",3,False
46,100000005339662100,consolidator,0.7384,"точка консолидации: получает от 4 разных плательщиков (9 переводов, 202 939 ₸), отдал дальше 145% полученного; до 2 плательщиков в один день | 2 seed в 2 шагах выше, 77% ушло за ≤2 дня",15,False
47,100000005514161100,consolidator,0.7314,"точка консолидации: получает от 4 разных плательщиков (7 переводов, 401 500 ₸), отдал дальше 12% полученного; до 2 плательщиков в один день | 4 seed в 2 шагах выше",8,False
48,100000006518161100,consolidator,0.7279,"точка консолидации: получает от 3 разных плательщиков (13 переводов, 594 200 ₸), отдал дальше 100% полученного; до 2 плательщиков в один день | 2 seed в 2 шагах выше, 71% ушло за ≤2 дня",4,False
49,100000001899164100,consolidator,0.7253,"точка консолидации: получает от 4 разных плательщиков (5 переводов, 291 675 ₸), отдал дальше 26% полученного; до 2 плательщиков в один день | 2 seed в 2 шагах выше",12,False
50,100000004221668100,consolidator,0.7231,"точка консолидации: получает от 4 разных плательщиков (8 переводов, 1 128 300 ₸), отдал дальше 65% полученного | 1 seed в 2 шагах выше, 98% ушло за ≤2 дня",26,False
