cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis,roles
35,10,0,1727065.0,100000004336312100;100000005519998100;100000004076740100;100000004017410100;100000003934614100,"Гипотеза: признаки сбора средств: 0 координ., 3 точек консолидации; 2 транзитных; без seed — дальнее окружение сети. Ключевой узел 100000004336312100 (точка консолидации), оборот внутри 1 727 065 ₸",peripheral:5; consolidator:3; transit:2
44,6,1,1615030.0,100000008736940100;100000008751429100;100000008193577100;100000005456919100;100000008659445100,"Гипотеза: признаки сбора средств: 0 координ., 3 точек консолидации; 1 транзитных; цепочка одного seed. Ключевой узел 100000008736940100 (точка консолидации), оборот внутри 1 615 030 ₸",consolidator:3; transit:1; terminal:1; peripheral:1
29,14,0,1605604.0,100000007382543100;100000008213966100;100000003001661100;100000000838385100;100000008655779100,"Гипотеза: признаки сбора средств: 0 координ., 2 точек консолидации; 2 транзитных; без seed — дальнее окружение сети. Ключевой узел 100000007382543100 (точка консолидации), оборот внутри 1 605 604 ₸",peripheral:10; consolidator:2; transit:2
58,4,0,1595700.0,100000001052945100;100000001131403100;100000004616845100;100000005146665100,"Гипотеза: 1 транзитных; без seed — дальнее окружение сети. Ключевой узел 100000001052945100 (транзит), оборот внутри 1 595 700 ₸",peripheral:3; transit:1
65,3,0,1557988.0,100000008258458100;100000004035925100;100000008619159100,"Гипотеза: 1 транзитных; без seed — дальнее окружение сети. Ключевой узел 100000008258458100 (транзит), оборот внутри 1 557 988 ₸",peripheral:2; transit:1
45,6,1,1527967.0,100000005183943100;100000007939160100;100000000580561100;100000003888271100;100000007930878100,"Гипотеза: 2 транзитных; цепочка одного seed. Ключевой узел 100000005183943100 (конечный получатель), оборот внутри 1 527 967 ₸",terminal:2; transit:2; peripheral:2
36,9,0,1406982.0,100000002217161100;100000001445848100;100000007647294100;100000008254576100;100000002242066100,"Гипотеза: 3 транзитных; без seed — дальнее окружение сети. Ключевой узел 100000002217161100 (транзит), оборот внутри 1 406 982 ₸",peripheral:5; transit:3; terminal:1
56,4,1,1404980.0,100000001872484100;100000000785800100;100000008601794100;100000002459163100,"Гипотеза: 3 транзитных; цепочка одного seed. Ключевой узел 100000001872484100 (транзит), оборот внутри 1 404 980 ₸",transit:3; peripheral:1
30,13,1,1392916.0,100000001380054100;100000001782980100;100000005077484100;100000003164661100;100000000607731100,"Гипотеза: 5 транзитных; цепочка одного seed. Ключевой узел 100000001380054100 (транзит), оборот внутри 1 392 916 ₸",peripheral:6; transit:5; terminal:2
40,7,0,1268308.0,100000008011159100;100000006169033100;100000006232642100;100000003664994100;100000005754335100,"Гипотеза: признаки сбора средств: 0 координ., 1 точек консолидации; 1 транзитных; без seed — дальнее окружение сети. Ключевой узел 100000008011159100 (точка консолидации), оборот внутри 1 268 308 ₸",peripheral:5; consolidator:1; transit:1
54,5,0,1189154.0,100000000291906100;100000000291908100;100000004670388100;100000004722630100;100000004691350100,"Гипотеза: 2 транзитных; без seed — дальнее окружение сети. Ключевой узел 100000000291906100 (транзит), оборот внутри 1 189 154 ₸",transit:2; peripheral:2; terminal:1
70,2,0,857500.0,100000008324800100;100000007390016100,"Гипотеза: признаки сбора средств: 0 координ., 1 точек консолидации; 1 транзитных; без seed — дальнее окружение сети. Ключевой узел 100000008324800100 (точка консолидации), оборот внутри 857 500 ₸",consolidator:1; transit:1
27,15,0,850450.0,100000001526235100;100000005505655100;100000002472632100;100000001788284100;100000002984403100,"Гипотеза: признаки сбора средств: 0 координ., 1 точек консолидации; 4 транзитных; без seed — дальнее окружение сети. Ключевой узел 100000001526235100 (точка консолидации), оборот внутри 850 450 ₸",peripheral:9; transit:4; consolidator:1; terminal:1
60,4,0,832800.0,100000003159641100;100000008625905100;100000001065234100;100000002194320100,"Гипотеза: признаки сбора средств: 0 координ., 1 точек консолидации; 1 транзитных; без seed — дальнее окружение сети. Ключевой узел 100000003159641100 (точка консолидации), оборот внутри 832 800 ₸",peripheral:2; consolidator:1; transit:1
71,2,0,761255.0,100000000583220100;100000004586598100,"Гипотеза: 1 транзитных; без seed — дальнее окружение сети. Ключевой узел 100000000583220100 (транзит), оборот внутри 761 255 ₸",transit:1; peripheral:1
48,6,0,720900.0,100000008761219100;100000007472293100;100000006638021100;100000008333492100;100000002794374100,"Гипотеза: 2 транзитных; без seed — дальнее окружение сети. Ключевой узел 100000008761219100 (транзит), оборот внутри 720 900 ₸",peripheral:4; transit:2
62,3,0,627870.0,100000004666651100;100000008628231100;100000005664632100,"Гипотеза: 1 транзитных; без seed — дальнее окружение сети. Ключевой узел 100000004666651100 (конечный получатель), оборот внутри 627 870 ₸",terminal:2; transit:1
22,20,0,617900.0,100000002448088100;100000003154105100;100000000723383100;100000001427082100;100000002185328100,"Гипотеза: признаки сбора средств: 0 координ., 1 точек консолидации; 4 транзитных; без seed — дальнее окружение сети. Ключевой узел 100000002448088100 (точка консолидации), оборот внутри 617 900 ₸",peripheral:15; transit:4; consolidator:1
34,10,0,603900.0,100000003635170100;100000004209339100;100000003321423100;100000002156381100;100000002696152100,"Гипотеза: признаки сбора средств: 0 координ., 1 точек консолидации; 4 транзитных; без seed — дальнее окружение сети. Ключевой узел 100000003635170100 (точка консолидации), оборот внутри 603 900 ₸",transit:4; peripheral:4; consolidator:1; terminal:1
69,2,0,584900.0,100000008430691100;100000007330432100,"Гипотеза: 1 транзитных; без seed — дальнее окружение сети. Ключевой узел 100000008430691100 (транзит), оборот внутри 584 900 ₸",transit:1; peripheral:1
66,3,0,553830.0,100000003321895100;100000003692843100;100000002371892100,"Гипотеза: 1 транзитных; без seed — дальнее окружение сети. Ключевой узел 100000003321895100 (транзит), оборот внутри 553 830 ₸",peripheral:2; transit:1
57,4,0,518000.0,100000002205022100;100000003163886100;100000000629812100;100000001380107100,"Гипотеза: 1 транзитных; без seed — дальнее окружение сети. Ключевой узел 100000002205022100 (транзит), оборот внутри 518 000 ₸",terminal:2; transit:1; peripheral:1
61,3,1,450816.0,100000005034574100;100000007283257100;100000004388983100,"Гипотеза: 1 транзитных; цепочка одного seed. Ключевой узел 100000005034574100 (конечный получатель), оборот внутри 450 816 ₸",terminal:2; transit:1
63,3,1,450000.0,100000002371751100;100000000769919100;100000007018630100,"Гипотеза: 2 транзитных; цепочка одного seed. Ключевой узел 100000002371751100 (транзит), оборот внутри 450 000 ₸",transit:2; terminal:1
18,29,0,446070.0,100000008460102100;100000001164648100;100000004891562100;100000002706810100;100000008715513100,"Гипотеза: 1 веерных распределителя; без seed — дальнее окружение сети. Ключевой узел 100000008460102100 (распределитель), оборот внутри 446 070 ₸",peripheral:27; distributor:1; terminal:1
64,3,1,390167.62,100000002781227100;100000002796853100;100000008522127100,"Гипотеза: 2 транзитных; цепочка одного seed. Ключевой узел 100000002781227100 (транзит), оборот внутри 390 168 ₸",transit:2; peripheral:1
37,8,0,389000.0,100000005507142100;100000001825934100;100000002612809100;100000005264874100;100000002214207100,"Гипотеза: признаки сбора средств: 0 координ., 1 точек консолидации; 3 транзитных; без seed — дальнее окружение сети. Ключевой узел 100000005507142100 (точка консолидации), оборот внутри 389 000 ₸",peripheral:4; transit:3; consolidator:1
46,6,1,383300.0,100000005546031100;100000004094958100;100000004331458100;100000005547096100;100000005363908100,"Гипотеза: признаки сбора средств: 0 координ., 1 точек консолидации; 4 транзитных; цепочка одного seed. Ключевой узел 100000005546031100 (точка консолидации), оборот внутри 383 300 ₸",transit:4; consolidator:1; terminal:1
59,4,0,332709.0,100000002513028100;100000004610802100;100000002516862100;100000004780083100,"Гипотеза: 1 транзитных; без seed — дальнее окружение сети. Ключевой узел 100000002513028100 (транзит), оборот внутри 332 709 ₸",peripheral:3; transit:1
33,10,0,322010.0,100000008172352100;100000007322059100;100000000993112100;100000002691858100;100000001597505100,"Гипотеза: признаки сбора средств: 0 координ., 1 точек консолидации; 1 транзитных; без seed — дальнее окружение сети. Ключевой узел 100000008172352100 (точка консолидации), оборот внутри 322 010 ₸",peripheral:7; consolidator:1; transit:1; terminal:1
47,6,1,275885.0,100000005895525100;100000002462183100;100000007175718100;100000005056870100;100000005485830100,"Гипотеза: 1 транзитных; цепочка одного seed. Ключевой узел 100000005895525100 (конечный получатель), оборот внутри 275 885 ₸",peripheral:3; terminal:2; transit:1
53,5,0,172000.0,100000005031696100;100000004659919100;100000001223977100;100000002700161100;100000008461217100,"Гипотеза: 2 транзитных; без seed — дальнее окружение сети. Ключевой узел 100000005031696100 (транзит), оборот внутри 172 000 ₸",peripheral:3; transit:2
43,7,0,143000.0,100000005911352100;100000004508696100;100000000507799100;100000002217806100;100000004549591100,"Гипотеза: 3 транзитных; без seed — дальнее окружение сети. Ключевой узел 100000005911352100 (транзит), оборот внутри 143 000 ₸",peripheral:4; transit:3
51,5,2,108007.0,100000006562026100;100000007347733100;100000008129393100;100000006249740100;100000006831291100,"Гипотеза: 2 транзитных; объединяет 2 seed — вероятно, общая инфраструктура. Ключевой узел 100000006562026100 (конечный получатель), оборот внутри 108 007 ₸",peripheral:2; transit:2; terminal:1
67,2,1,81465.0,100000003865939100;100000005392290100,"Гипотеза: 1 транзитных; цепочка одного seed. Ключевой узел 100000003865939100 (периферия), оборот внутри 81 465 ₸",peripheral:1; transit:1
55,4,1,79050.0,100000006888238100;100000003148220100;100000004971871100;100000001852140100,"Гипотеза: 3 транзитных; цепочка одного seed. Ключевой узел 100000006888238100 (транзит), оборот внутри 79 050 ₸",transit:3; peripheral:1
68,2,1,30000.0,100000003980083100;100000003200071100,"Гипотеза: 1 транзитных; цепочка одного seed. Ключевой узел 100000003980083100 (периферия), оборот внутри 30 000 ₸",peripheral:1; transit:1
0,19,19,0.0,100000005235389100;100000005495722100;100000008117324100;100000005550592100;100000005568407100,19 seed без переводов ≥5 000 ₸ в июле: активность вне выборки неизвестна — запросить полную выписку,peripheral:19
